"N","M1","M2","M3"
"1000","2929.64","56.88","3.4"
"1100","2858.66","55.72","2.9"
"1200","2845.38","55.32","3.1"
"1300","2890.66","56.36","3.7"
"1400","2878.96","56.0","3.98"
"1500","2921.34","56.98","4.32"
"1600","2939.98","57.02","4.48"
"1700","2923.88","56.76","4.64"
"1800","3053.16","59.46","6.14"
"1900","3060.66","59.86","6.42"
"2000","3080.36","60.02","6.52"
"2100","3062.52","59.88","7.0"
"2200","3126.56","60.98","7.52"
"2300","3171.26","61.94","8.9"
"2400","3146.06","61.52","8.94"
"2500","3270.82","63.82","10.62"
"2600","3284.14","64.02","11.16"
"2700","3261.86","63.78","11.44"
"2800","3344.02","65.28","13.28"
"2900","3366.84","65.94","13.64"
"3000","3348.02","65.34","13.04"
"3100","3345.36","65.44","13.56"
"3200","3421.18","66.88","14.98"
"3300","3498.56","68.44","17.1"
"3400","3658.88","71.56","20.26"
"3500","3814.34","74.72","23.14"
"3600","3984.98","78.22","26.64"
"3700","4183.82","82.06","30.66"
"3800","4430.96","87.02","35.54"
"3900","4716.72","92.8","41.22"
"4000","5066.44","99.72","48.32"
"4100","5239.42","103.28","51.64"
"4200","5698.2","112.36","60.9"
"4300","7094.04","140.32","88.32"
"4400","8635.9","171.12","119.08"
"4500","8883.64","176.1","123.9"
"4600","8619.1","170.7","118.66"
"4700","8204.88","162.62","110.52"
"4800","8066.6","159.84","107.84"
"4900","7973.12","158.06","106.08"
"5000","8135.96","161.2","109.36"
"5100","8702.52","172.6","120.64"
"5200","8930.3","176.96","124.96"
"5300","9290.3","184.16","132.16"
"5400","9654.46","191.46","139.42"
"5500","10069.14","199.86","147.68"
"5600","10648.82","211.48","159.32"
"5700","11169.52","221.84","169.5"
"5800","11356.86","225.58","173.34"
"5900","12204.74","242.54","190.32"
"6000","13520.26","268.86","216.56"
"6100","12978.94","258.06","205.62"
"6200","12838.64","255.22","202.9"
"6300","13467.38","267.74","215.36"
"6400","14247.2","283.4","231.14"
"6500","15274.14","303.94","251.72"
"6600","16095.02","320.38","267.9"
"6700","16440.08","327.22","274.84"
"6800","17172.06","341.92","289.42"
"6900","17834.08","355.12","302.6"
"7000","18318.18","364.82","312.28"
"7100","17932.12","357.16","304.38"
"7200","23149.9","461.46","409.04"
"7300","20799.96","414.44","361.84"
"7400","23243.68","463.3","410.78"
"7500","24024.7","478.94","426.38"
"7600","21507.84","428.56","376.04"
"7700","20593.04","410.3","357.62"
"7800","21467.04","427.76","375.16"
"7900","23344.1","465.34","412.62"
"8000","21640.86","431.34","378.56"
"8100","21761.28","433.6","380.8"
"8200","22415.58","446.74","393.88"
"8300","22879.44","456.04","403.06"
"8400","23454.6","467.46","414.62"
"8500","23987.28","478.28","425.44"
"8600","24590.62","490.3","437.44"
"8700","25134.5","501.14","448.28"
"8800","27092.38","540.3","487.4"
"8900","27802.9","554.46","501.78"
"9000","29539.14","589.28","536.46"
"9100","29258.68","583.64","530.68"
"9200","30382.78","606.1","553.22"
"9300","31307.82","624.66","571.72"
"9400","30977.14","617.98","565.08"
"9500","30902.18","616.5","563.42"
"9600","30470.1","607.88","554.84"
"9700","31278.02","623.96","570.82"
"9800","32194.62","642.34","589.2"
"9900","34187.76","682.14","629.3"
