"D","M1","M2","M3"
"100","1068.85","725.69","723.99"
"150","1041.76","708.73","708.58"
"200","1260.5700000000002","644.73","644.46"
"250","1025.81","693.26","693.06"
"300","1066.6399999999999","665.44","665.27"
"350","1140.1399999999999","662.2","662.04"
"400","1094.3799999999999","633.97","633.77"
"450","1212.33","714.45","714.22"
"500","1300.7","626.33","626.14"
"550","1237.54","636.63","636.42"
"600","1270.83","645.65","645.45"
"650","1501.09","614.47","614.26"
"700","1418.67","612.65","612.46"
"750","1404.79","688.56","688.43"
"800","1589.75","726.06","725.92"
"850","1467.06","652.94","652.72"
"900","1508.59","619.95","619.8"
"950","1532.99","637.62","637.41"
"1000","1563.5700000000002","521.57","521.36"
