"M","M1","M2","M3"
"4","596.1","478.05","476.4"
"6","594.0333333333333","431.8333333333333","431.7"
"8","611.675","448.55","448.225"
"10","769.96","498.76","498.58"
"12","769.8166666666667","532.3666666666667","532.0833333333334"
"14","1003.4571428571429","536.1857142857143","536.0"
"16","879.5","595.225","595.0"
"18","947.1222222222223","677.9555555555555","677.7444444444444"
"20","1043.34","742.91","742.73"
"22","1162.109090909091","793.5272727272727","793.1727272727272"
"24","1239.2166666666667","858.3083333333333","858.0833333333334"
"26","1267.1538461538462","937.4076923076923","937.0692307692308"
"28","1336.492857142857","1037.1285714285714","1036.8214285714287"
"30","1527.9266666666667","1070.3733333333332","1070.0"
"32","1939.7","1087.95625","1087.70625"
"34","1694.8941176470587","1269.394117647059","1269.0882352941176"
"36","1853.9055555555556","1438.111111111111","1437.6944444444443"
"38","1937.4105263157894","1506.1684210526316","1505.7"
"40","2181.325","1507.62","1507.305"
"42","2159.2380952380954","1637.2952380952381","1636.990476190476"
"44","2498.7954545454545","1704.8227272727272","1704.3636363636363"
"46","2255.0304347826086","1784.595652173913","1784.3304347826088"
"48","2504.9958333333334","1857.675","1857.4125"
"50","2475.784","1929.412","1929.004"
