"N","M1","M2","M3"
"1000","17.21","17.19","5.37"
"1100","9.190000000000001","8.9","1.57"
"1200","9.15","8.92","1.65"
"1300","10.379999999999999","10.2","1.95"
"1400","6.790000000000001","6.79","1.54"
"1500","7.109999999999999","7.11","1.69"
"1600","9.48","9.48","2.32"
"1700","9.92","9.92","2.38"
"1800","11.559999999999999","11.55","2.96"
"1900","11.33","11.33","2.95"
"2000","12.709999999999999","12.7","2.94"
"2100","12.51","12.51","3.22"
"2200","12.84","12.84","3.4"
"2300","22.54","22.54","10.78"
"2400","14.16","14.15","4.65"
"2500","15.98","15.98","5.79"
"2600","17.39","17.37","7.52"
"2700","19.1","19.1","9.16"
"2800","18.259999999999998","18.26","8.49"
"2900","20.5","20.49","10.81"
