"N","M1","M2","M3"
"10000","182.2","116.04","114.48"
"12000","203.64000000000001","147.6","147.4"
"14000","262.04","201.64","201.52"
"16000","352.32","271.24","271.16"
"18000","430.52","343.32","342.96"
"20000","518.4399999999999","430.48","430.36"
"22000","800.24","527.04","526.88"
"24000","726.0","629.56","629.52"
"26000","840.4799999999999","744.6","744.44"
"28000","982.0799999999999","873.08","872.88"
"30000","1140.48","1019.4","1019.28"
"32000","1348.3200000000002","1201.84","1201.56"
"34000","1489.56","1369.32","1367.88"
"36000","1680.0400000000002","1561.52","1552.64"
"38000","1892.6","1770.76","1765.76"
"40000","2212.16","1908.32","1904.28"
"42000","2305.6","2185.2","2177.6"
"44000","2502.4","2353.48","2345.16"
"46000","2712.44","2569.8","2562.2"
"48000","2971.08","2798.44","2789.68"
