"D","M1","M2","M3"
"100","1275.12","1042.9193548387098","615.241935483871"
"200","1222.5333333333333","1004.7190082644628","657.0"
"300","1153.6733333333334","984.2636363636364","652.0636363636364"
"400","995.66","951.0393700787401","692.6771653543307"
"500","933.3066666666666","896.3307692307692","681.6153846153846"
"600","933.0466666666666","857.4705882352941","632.0588235294117"
"700","866.26","818.3037037037037","636.3481481481482"
"800","877.4466666666667","803.4485294117648","613.3382352941177"
"900","930.8533333333334","843.0214285714286","659.3785714285714"
"1000","955.2733333333333","867.9662162162163","681.2432432432432"
"1100","982.3933333333333","874.6733333333333","652.6066666666667"
"1200","840.7333333333333","774.72","626.9466666666667"
"1300","890.2733333333333","792.8533333333334","617.9333333333333"
"1400","886.1066666666667","791.3333333333334","622.7533333333333"
"1500","917.4733333333334","796.3533333333334","597.9333333333333"
"1600","856.22","752.4466666666667","578.7666666666667"
"1700","832.8866666666667","751.0666666666667","575.9466666666667"
"1800","812.52","737.3933333333333","571.8533333333334"
"1900","918.8666666666667","797.4533333333334","556.4866666666667"
"2000","797.2066666666667","731.0533333333333","578.2466666666667"
"2100","979.5266666666666","854.9","574.3"
"2200","823.5666666666667","741.56","566.3466666666667"
"2300","982.0066666666667","878.5733333333334","571.3866666666667"
"2400","807.8866666666667","745.1266666666667","559.38"
"2500","886.3333333333334","732.14","542.7333333333333"
"2600","870.9333333333333","735.4733333333334","572.6533333333333"
"2700","929.4733333333334","790.8666666666667","537.26"
"2800","842.9666666666667","680.4866666666667","524.4133333333333"
"2900","826.4866666666667","710.8933333333333","560.0266666666666"
"3000","967.4933333333333","729.6644295302013","555.8859060402684"
