"N","M1","M2","M3"
"10000","4942.4","472.05","152.0"
"11000","5517.3","530.15","184.5"
"12000","6388.7","614.95","231.75"
"13000","7646.9","737.65","268.9"
"14000","7726.2","749.65","331.8"
"15000","8842.25","859.0","400.8"
"16000","9342.55","909.25","459.45"
"17000","10670.55","1044.7","530.05"
"18000","11822.2","1155.6","620.85"
"19000","15076.4","1479.1","689.5"
"20000","14148.75","1384.9","780.2"
"21000","15869.65","1559.85","839.6"
"22000","15801.05","1553.4","948.3"
"23000","17420.95","1708.85","1060.7"
"24000","18184.6","1789.3","1142.05"
"25000","20129.15","1978.55","1256.85"
"26000","20431.65","2011.3","1365.35"
"27000","22668.45","2233.65","1500.1"
"28000","24282.2","2397.05","1636.7"
"29000","25767.95","2543.45","1771.9"
"30000","27017.85","2673.7","1893.25"
"31000","28255.75","2799.0","2051.95"
"32000","30716.45","3043.95","2199.45"
"33000","33228.05","3293.4","2312.05"
"34000","33427.7","3309.65","2497.7"
"35000","35096.1","3468.55","2671.1"
"36000","37542.75","3713.0","2829.75"
"37000","39785.75","3939.95","2997.65"
"38000","40841.85","4046.9","3227.1"
"39000","43195.55","4289.65","3366.8"
"40000","47488.5","4716.95","3488.95"
"41000","47796.1","4739.8","3703.75"
"42000","48679.25","4823.1","3722.9"
"43000","50910.55","5052.4","3868.6"
"44000","55882.2","5556.4","3918.7"
"45000","55084.8","5465.5","4235.85"
"46000","55688.2","5547.8","4580.25"
"47000","58185.9","5785.65","4819.35"
"48000","65849.15","6560.95","4948.75"
"49000","63694.4","6341.85","5282.0"
